region,capital,area,pop1978,pop1988,pop2002,pop2012,pop2016
Arusha,Arusha,37576.00,,744479.00,1288088.00,1694310.00,1890700.00
Dar es Salaam,Dar es Salaam,1393.00,843090.00,1360850.00,2487288.00,4364541.00,5465400.00
Dodoma,Dodoma,41311.00,972005.00,1235328.00,1692025.00,2083588.00,2264500.00
Geita,Geita,20054.00,,,1337718.00,1739530.00,1932200.00
Iringa,Iringa,35503.00,,,840404.00,941238.00,984900.00
Kagera,Bukoba,25265.00,,,1791451.00,2458023.00,2789600.00
Katavi,Mpanda,45843.00,,,408609.00,564604.00,642600.00
Kigoma,Kigoma,37040.00,648941.00,856770.00,1674047.00,2127930.00,2342300.00
Kilimanjaro,Moshi,13250.00,902437.00,1104673.00,1376702.00,1640087.00,1759000.00
Lindi,Lindi,66040.00,527624.00,646494.00,787624.00,864652.00,897500.00
Manyara,Babati,44522.00,,603691.00,1037605.00,1425131.00,1618000.00
Mara,Musoma,21760.00,723827.00,946418.00,1363397.00,1743830.00,1924200.00
Mbeya,Mbeya,60350.00,1079864.00,1476278.00,2063328.00,2707410.00,3019400.00
Morogoro,Morogoro,70624.00,939264.00,1220564.00,1753362.00,2218492.00,2437400.00
Mtwara,Mtwara,16710.00,771818.00,889100.00,1124481.00,1270854.00,1334600.00
Mwanza,Mwanza,9467.00,,,2058866.00,2772509.00,3123000.00
Njombe,Njombe,21347.00,,,648464.00,702097.00,724800.00
Pwani,Dar es Salaam,32547.00,516586.00,636103.00,885017.00,1098668.00,1197900.00
Rukwa,Sumbawanga,22792.00,,,729060.00,1004539.00,1142000.00
Ruvuma,Songea,63669.00,561575.00,779875.00,1113715.00,1376891.00,1498800.00
Shinyanga,Shinyanga,18901.00,,,1249226.00,1534808.00,1666600.00
Simiyu,Bariadi,25212.00,,,1317879.00,1584157.00,1705200.00
Singida,Singida,49340.00,613949.00,792387.00,1086748.00,1370637.00,1504000.00
Tabora,Tabora,76150.00,817907.00,1036150.00,1710465.00,2291623.00,2576100.00
Tanga,Tanga,26677.00,1037767.00,1280212.00,1636280.00,2045205.00,2236100.00
